195,A,The Jungle Book 2,2003-02-14,/wiki/The_Jungle_Book_2,The Jungle Book 2,"{""Steve Trenbirth""}","{""Karl Geurs"",""Evan Spiliotopoulos""}","{""Joel McNeely""}",DisneyToon Studios,N,72 minutes,{English},$20 million,$135.7 million
1,A,Academy Award Review of Walt Disney Cartoons,1937-05-19,/wiki/Academy_Award_Review_of_Walt_Disney_Cartoons,Academy Award Review of Walt Disney Cartoons,None,None,None,Walt Disney Productions,N,41 minutes (74 minutes 1966 release),{English},N,$45.472
2,A,Snow White and the Seven Dwarfs,1937-12-21,/wiki/Snow_White_and_the_Seven_Dwarfs_(1937_film),Snow White and the Seven Dwarfs,"{""David Hand"",(supervising),""William Cottrell"",""Wilfred Jackson"",""Larry Morey"",""Perce Pearce"",""Ben Sharpsteen""}","{""Ted Sears"",""Richard Creedon"",""Otto Englander"",""Dick Rickard"",""Earl Hurd"",""Merrill De Maris"",""Dorothy Ann Blank"",""Webb Smith""}","{""Frank Churchill"",""Paul Smith"",""Leigh Harline""}",Walt Disney Productions,N,83 minutes,{English},$1.49 million,$418 million
3,A,Pinocchio,1940-02-07,/wiki/Pinocchio_(1940_film),Pinocchio,"{""Supervising Directors"",""Ben Sharpsteen"",""Hamilton Luske"",""Sequence Directors"",""Bill Roberts"",""Norman Ferguson"",""Jack Kinney"",""Wilfred Jackson"",""T. Hee""}",None,"{""Leigh Harline"",""Paul J. Smith""}",Walt Disney Productions,N,88 minutes,{English},$2.6 million,$164 million
4,H,Fantasia,1940-11-13,/wiki/Fantasia_(1940_film),Fantasia,"{""Samuel Armstrong"",""James Algar"",""Bill Roberts"",""Paul Satterfield"",""Ben Sharpsteen"",""David D. Hand"",""Hamilton Luske"",""Jim Handley"",""Ford Beebe"",""T. Hee"",""Norman Ferguson"",""Wilfred Jackson""}",None,"{""See program""}",Walt Disney Productions,N,126 minutes,{English},$2.28 million,$76.4–$83.3 million
5,H,The Reluctant Dragon,1941-06-20,/wiki/The_Reluctant_Dragon_(1941_film),The Reluctant Dragon,"{""Alfred Werker"",""(live action)"",""Hamilton Luske"",(animation),""Jack Cutting"","","",""Ub Iwerks"","","",""Jack Kinney"",""(sequence directors)""}","{Live-action:,""Ted Sears"",""Al Perkins"",""Larry Clemmons"",""Bill Cottrell"",""Harry Clork"",""Robert Benchley"",""The Reluctant Dragon"",segment:,""Kenneth Grahame"",""(original book)"",""Erdman Penner"",""T. Hee"",""Baby Weems"",segment:,""Joe Grant"",""Dick Huemer"",""John Miller""}","{""Frank Churchill"",""Larry Morey""}",Walt Disney Productions,N,74 minutes,{English},"$600,000","$960,000 (worldwide rentals)"
349,L,Dumbo,2019-03-29,/wiki/Dumbo_(2019_film),Dumbo,"{""Supervising director:"",""Ben Sharpsteen"",""Sequence directors:"",""Norman Ferguson"",""Wilfred Jackson"",""Bill Roberts"",""Jack Kinney"",""Samuel Armstrong""}",None,"{""Frank Churchill"",""Oliver Wallace""}",Walt Disney Productions,N,64 minutes,{English},"$950,000","$1.3 million (est. United States/Canada rentals, 1941)"
6,A,Dumbo,1941-10-23,/wiki/Dumbo,Dumbo,"{""Supervising director:"",""Ben Sharpsteen"",""Sequence directors:"",""Norman Ferguson"",""Wilfred Jackson"",""Bill Roberts"",""Jack Kinney"",""Samuel Armstrong""}",None,"{""Frank Churchill"",""Oliver Wallace""}",Walt Disney Productions,N,64 minutes,{English},"$950,000","$1.3 million (est. United States/Canada rentals, 1941)"
7,A,Bambi,1942-08-13,/wiki/Bambi,Bambi,"{""Supervising director"",""David Hand"",""Sequence directors"",""James Algar"",""Samuel Armstrong"",""Graham Heid"",""Bill Roberts"",""Paul Satterfield"",""Norman Wright""}",None,"{""Frank Churchill"",""Edward H. Plumb""}",Walt Disney Productions,N,70 minutes,{English},"$858,000",$267.4 million
8,H,Saludos Amigos,1943-02-06,/wiki/Saludos_Amigos,Saludos Amigos,"{""Norman Ferguson"",""Wilfred Jackson"",""Jack Kinney"",""Hamilton Luske"",""Bill Roberts""}",None,"{""Paul Smith"",""Edward H. Plumb""}",Walt Disney Productions,N,42 minutes,"{English,Portuguese,Spanish}",N,"$1,135,000 (worldwide rentals)"
9,H,Victory Through Air Power,1943-07-17,/wiki/Victory_Through_Air_Power_(film),Victory Through Air Power,"{""Animated sequences:"",""James Algar"",""Clyde Geronimi"",""Jack Kinney"",""de Seversky scenes:"",""H.C. Potter""}","{""Story direction:"",""Perce Pearce"",""Story adaptation:"",""T. Hee"",""Erdman Penner"",""Bill Cottrell"",""James Brodero"",""George Stallings"",""Jose Rodriguez""}","{""Edward H. Plumb"",""Paul J. Smith"",""Oliver Wallace""}",Walt Disney Productions,N,65 min.,{English},"$788,000","$799,000"
10,H,The Three Caballeros,1945-02-03,/wiki/The_Three_Caballeros,The Three Caballeros,"{""Norman Ferguson"",""(supervising director)"",""Clyde Geronimi"",""Jack Kinney"",""Bill Roberts"",""Harold Young"",""(sequence directors)""}",None,"{""Edward H. Plumb"",""Paul J. Smith"",""Charles Wolcott""}",Walt Disney Productions,N,71 minutes,"{English,Spanish,Portuguese}",N,"$3,355,000 (worldwide rentals)"
11,A,Make Mine Music,1946-04-20,/wiki/Make_Mine_Music,Make Mine Music,"{""Jack Kinney"",""Clyde Geronimi"",""Hamilton Luske"",""Joshua Meador"",""Robert Cormack""}",None,"{""Eliot Daniel"",""Ken Darby"",""Charles Wolcott"",""Oliver Wallace"",""Edward Plumb""}",Walt Disney Productions,N,75 minutes,{English},$1.35 million,$3.275 million (worldwide rentals)
12,H,Song of the South,1946-11-12,/wiki/Song_of_the_South,Song of the South,"{""Live action:"",""Harve Foster"",Animation:,""Wilfred Jackson""}",None,"{""Edward Plumb"",""Daniele Amfitheatrof"",""Paul J. Smith"",""Charles Wolcott""}",Walt Disney Productions,N,94 minutes,{English},$2.125 million,$65 million
13,H,Fun and Fancy Free,1947-09-27,/wiki/Fun_and_Fancy_Free,Fun and Fancy Free,"{""Jack Kinney"",(animation),""Bill Roberts"",(animation),""Hamilton Luske"",(animation),""William Morgan"",(live-action)}",None,"{""Oliver Wallace"",""Paul Smith"",""Eliot Daniel"",""Charles Wolcott""}",Walt Disney Productions,N,73 minutes,{English},N,"$3,165,000 (worldwide rentals)"
14,H,Melody Time,1948-05-27,/wiki/Melody_Time,Melody Time,"{""Jack Kinney"",""Clyde Geronimi"",""Hamilton Luske"",""Wilfred Jackson""}","{""Winston Hibler"",""Harry Reeves"",""Ken Anderson"",""Erdman Penner"",""Homer Brightman"",""Ted Sears"",""Joe Rinaldi"",""Bill Cottrell"",""Jesse Marsh"",""Art Scott"",""Bob Moore"",""John Walbridge""}","{""Eliot Daniel"",""Paul J. Smith"",""Ken Darby""}",Walt Disney Productions,N,75 minutes,{English},$1.5 million,"$2,560,000 (worldwide rentals)"
15,H,So Dear to My Heart,1948-11-29,/wiki/So_Dear_to_My_Heart,So Dear to My Heart,"{""Harold D. Schuster"",""Hamilton Luske""}","{""Ken Anderson"",""John Tucker Battle"",""Marc Davis"",""Bill Peet"",""Maurice Rapf"",""Ted Sears""}","{""Paul Smith""}",Walt Disney Productions,N,82 minutes,{English},$1.5 million,"$3.7 million (U.S. rental) $575,000 (foreign rental)"
16,A,The Adventures of Ichabod and Mr. Toad,1949-10-05,/wiki/The_Adventures_of_Ichabod_and_Mr._Toad,The Adventures of Ichabod and Mr. Toad,"{""Jack Kinney"",""Clyde Geronimi"",""James Algar""}",None,"{""Oliver Wallace""}",Walt Disney Productions,N,68 minutes,{English},N,"$1,625,000 (worldwide rentals)"
316,L,Cinderella,2015-03-13,/wiki/Cinderella_(2015_Disney_film),Cinderella,"{""Clyde Geronimi"",""Hamilton Luske"",""Wilfred Jackson""}",None,"{""Oliver Wallace"",""Paul J. Smith""}",Walt Disney Productions,N,74 minutes,{English},$2.9 million,$263.6 million
